id;start_date;end_date;language
1;2020-08-24T13:21:15;2020-08-24T11:11:30;SPANISH
2;2020-08-23T18:11:26;2020-08-24T13:15:51;SPANISH
3;2020-08-24T09:06:45;2020-08-23T19:40:54;FRENCH
4;2020-08-24T00:24:16;2020-08-24T11:55:42;FRENCH
5;2020-08-24T09:54:34;2020-08-24T14:41:33;FRENCH
6;2020-08-24T03:46:55;2020-08-24T15:55:09;FRENCH
7;2020-08-24T05:32:15;2020-08-23T23:23:06;FRENCH
8;2020-08-24T04:28:28;2020-08-24T14:44:36;SPANISH
9;2020-08-24T03:09:37;2020-08-23T23:51:00;SPANISH
10;2020-08-24T11:21:41;2020-08-23T21:56:11;SPANISH
